Date,Open,High,Low,Close,Adj Close,Volume
2015-04-06,91.440002,91.440002,91.419998,91.440002,83.024376,302550
2015-04-07,91.459999,91.459999,91.440002,91.459999,83.042519,128100
2015-04-08,91.459999,91.459999,91.440002,91.459999,83.042519,244900
2015-04-09,91.440002,91.459999,91.419998,91.440002,83.024376,257750
2015-04-10,91.419998,91.440002,91.419998,91.440002,83.024376,159800
2015-04-13,91.419998,91.440002,91.419998,91.419998,83.006210,84550
2015-04-14,91.440002,91.440002,91.419998,91.440002,83.024376,72500
2015-04-15,91.419998,91.440002,91.419998,91.419998,83.006210,105950
2015-04-16,91.419998,91.440002,91.419998,91.440002,83.024376,187450
2015-04-17,91.419998,91.440002,91.419998,91.419998,83.006210,182550
2015-04-20,91.440002,91.440002,91.419998,91.419998,83.006210,130500
2015-04-21,91.419998,91.440002,91.419998,91.440002,83.024376,125850
2015-04-22,91.440002,91.440002,91.419998,91.419998,83.006210,186350
2015-04-23,91.419998,91.440002,91.419998,91.419998,83.006210,132150
2015-04-24,91.419998,91.440002,91.419998,91.419998,83.006210,119600
2015-04-27,91.419998,91.440002,91.419998,91.440002,83.024376,79500
2015-04-28,91.419998,91.440002,91.419998,91.440002,83.024376,79650
2015-04-29,91.440002,91.440002,91.419998,91.440002,83.024376,182600
2015-04-30,91.419998,91.440002,91.419998,91.440002,83.024376,388650
2015-05-01,91.419998,91.440002,91.419998,91.419998,83.006210,365700
2015-05-04,91.440002,91.440002,91.419998,91.440002,83.024376,296250
2015-05-05,91.440002,91.440002,91.419998,91.440002,83.024376,326750
2015-05-06,91.440002,91.440002,91.419998,91.440002,83.024376,442550
2015-05-07,91.440002,91.440002,91.419998,91.419998,83.006210,112850
2015-05-08,91.419998,91.440002,91.419998,91.440002,83.024376,289750
2015-05-11,91.419998,91.440002,91.419998,91.419998,83.006210,1544150
2015-05-12,91.419998,91.440002,91.419998,91.440002,83.024376,72450
2015-05-13,91.419998,91.440002,91.419998,91.440002,83.024376,173600
2015-05-14,91.419998,91.440002,91.419998,91.419998,83.006210,175950
2015-05-15,91.440002,91.440002,91.419998,91.419998,83.006210,101650
2015-05-18,91.440002,91.440002,91.419998,91.419998,83.006210,135000
2015-05-19,91.440002,91.440002,91.419998,91.419998,83.006210,470250
2015-05-20,91.419998,91.440002,91.419998,91.419998,83.006210,119050
2015-05-21,91.419998,91.440002,91.419998,91.440002,83.024376,651750
2015-05-22,91.419998,91.440002,91.419998,91.440002,83.024376,152300
2015-05-26,91.440002,91.440002,91.419998,91.440002,83.024376,503600
2015-05-27,91.419998,91.440002,91.419998,91.440002,83.024376,351200
2015-05-28,91.440002,91.440002,91.419998,91.419998,83.006210,148950
2015-05-29,91.440002,91.440002,91.419998,91.419998,83.006210,181050
2015-06-01,91.440002,91.440002,91.419998,91.419998,83.006210,352100
2015-06-02,91.440002,91.440002,91.419998,91.440002,83.024376,169700
2015-06-03,91.440002,91.440002,91.419998,91.440002,83.024376,2925700
2015-06-04,91.440002,91.440002,91.419998,91.419998,83.006210,241400
2015-06-05,91.440002,91.440002,91.400002,91.419998,83.006210,360750
2015-06-08,91.419998,91.419998,91.400002,91.400002,82.988037,209150
2015-06-09,91.419998,91.419998,91.400002,91.400002,82.988037,143850
2015-06-10,91.400002,91.419998,91.400002,91.419998,83.006210,664400
2015-06-11,91.419998,91.440002,91.419998,91.440002,83.024376,330100
2015-06-12,91.440002,91.440002,91.419998,91.419998,83.006210,66900
2015-06-15,91.440002,91.440002,91.419998,91.440002,83.024376,170800
2015-06-16,91.400002,91.419998,91.400002,91.400002,82.988037,177700
2015-06-17,91.419998,91.440002,91.419998,91.440002,83.024376,315600
2015-06-18,91.440002,91.440002,91.400002,91.400002,82.988037,208000
2015-06-19,91.419998,91.419998,91.400002,91.400002,82.988037,59050
2015-06-22,91.400002,91.419998,91.400002,91.419998,83.006210,253550
2015-06-23,91.400002,91.419998,91.400002,91.400002,82.988037,423750
2015-06-24,91.419998,91.419998,91.400002,91.400002,82.988037,60750
2015-06-25,91.419998,91.419998,91.400002,91.419998,83.006210,240050
2015-06-26,91.400002,91.440002,91.400002,91.400002,82.988037,113450
2015-06-29,91.400002,91.419998,91.400002,91.419998,83.006210,2018150
2015-06-30,91.419998,91.419998,91.400002,91.419998,83.006210,363000
2015-07-01,91.419998,91.419998,91.400002,91.419998,83.006210,555650
2015-07-02,91.419998,91.419998,91.400002,91.419998,83.006210,623300
2015-07-06,91.400002,91.419998,91.400002,91.419998,83.006210,178400
2015-07-07,91.400002,91.419998,91.400002,91.400002,82.988037,430250
2015-07-08,91.419998,91.419998,91.400002,91.400002,82.988037,408150
2015-07-09,91.400002,91.419998,91.400002,91.400002,82.988037,228900
2015-07-10,91.419998,91.419998,91.400002,91.400002,82.988037,208650
2015-07-13,91.400002,91.419998,91.400002,91.400002,82.988037,438200
2015-07-14,91.400002,91.419998,91.400002,91.419998,83.006210,482900
2015-07-15,91.419998,91.419998,91.400002,91.400002,82.988037,77250
2015-07-16,91.400002,91.419998,91.400002,91.400002,82.988037,680000
